,Player,Pos,Age,Tm,G,TOT_MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
80,Ryan Broekhoff,SG,29.0,DAL,17.0,180,13.1,.568,.864,.136,3.0,21.7,12.5,8.3,1.3,1.9,8.8,16.3,0.2,0.2,0.4,.116,0.4,0.4,0.9,0.1
81,Malcolm Brogdon,PG,27.0,IND,48.0,1472,17.8,.537,.296,.246,3.0,13.8,8.5,34.5,1.1,0.5,13.6,25.2,2.0,1.4,3.5,.113,2.2,-0.5,1.7,1.4
82,Dillon Brooks,SG,24.0,MEM,65.0,1851,11.1,.508,.387,.192,3.5,8.4,6.0,10.0,1.4,1.2,9.7,25.0,-0.3,1.3,1.0,.025,-2.8,-1.5,-4.3,-1.1
83,Bruce Brown,SG,23.0,DET,58.0,1634,11.9,.518,.215,.266,4.2,15.0,9.5,20.4,1.9,1.5,16.7,16.0,0.8,1.4,2.1,.062,-2.0,0.8,-1.2,0.3
84,Charlie Brown,SG,22.0,ATL,10.0,40,11.1,.472,.474,.263,5.3,5.5,5.4,7.3,2.3,4.2,12.4,25.1,0.0,0.0,0.0,-0.028,-1.1,-1.4,-2.5,0.0
85,Jaylen Brown,SF,23.0,BOS,50.0,1702,17.1,.589,.364,.280,3.4,16.5,10.0,10.2,1.6,0.9,11.8,24.7,2.1,2.3,4.5,.126,1.0,-0.1,0.9,1.2
86,Moses Brown,C,20.0,POR,9.0,33,6.7,.407,.000,.800,9.6,34.0,22.0,4.1,1.4,2.6,18.2,21.2,-0.1,0.0,0.0,-0.062,-8.2,-1.7,-9.9,-0.1
87,Sterling Brown,SF,24.0,MIL,45.0,665,9.3,.478,.523,.161,4.4,19.2,12.3,8.8,1.5,0.9,13.4,16.7,-0.4,1.3,1.0,.071,-3.1,1.0,-2.0,0.0
88,Troy Brown Jr.,SG,20.0,WAS,61.0,1519,13.7,.534,.287,.225,4.4,19.6,11.7,13.0,2.3,0.3,10.5,17.0,1.2,0.9,2.2,.069,-0.8,-0.4,-1.3,0.3
89,Jalen Brunson,PG,23.0,DAL,57.0,1022,15.0,.553,.309,.193,2.3,11.3,6.9,26.9,1.0,0.3,13.6,20.4,1.6,0.7,2.3,.108,0.1,-0.9,-0.8,0.3
90,Thomas Bryant,C,22.0,WAS,38.0,901,20.0,.659,.176,.309,8.8,23.4,15.8,11.9,0.7,3.2,12.1,18.3,2.4,0.5,2.9,.153,2.1,-1.2,0.9,0.7
91,Reggie Bullock,SG,28.0,NYK,29.0,684,9.3,.502,.496,.094,2.0,8.8,5.3,8.8,1.8,0.4,7.5,15.6,0.2,0.3,0.5,.036,-2.7,-0.3,-3.0,-0.2
92,Trey Burke,PG,27.0,PHI,25.0,329,15.4,.545,.299,.142,5.0,6.7,5.9,24.2,1.0,0.3,8.2,19.3,0.6,0.2,0.9,.129,0.7,-1.1,-0.5,0.1
93,Alec Burks,SG,28.0,TOT,59.0,1612,16.0,.549,.389,.358,2.8,15.2,8.8,16.9,1.7,0.9,9.5,23.8,1.9,1.1,2.9,.088,0.6,-0.7,-0.2,0.7
94,Alec Burks,SG,28.0,GSW,48.0,1390,16.1,.552,.373,.373,2.8,15.3,8.8,17.4,1.7,1.1,9.8,23.8,1.6,0.8,2.5,.085,0.7,-0.6,0.1,0.7
95,Alec Burks,SG,28.0,PHI,11.0,222,14.9,.527,.490,.270,3.0,14.9,9.0,13.4,1.8,0.0,7.4,23.5,0.2,0.2,0.5,.103,-0.2,-1.5,-1.7,0.0
96,Deonte Burton,SG,26.0,OKC,34.0,284,5.9,.426,.438,.114,2.4,15.9,9.4,5.6,0.9,3.0,11.3,19.3,-0.6,0.3,-0.3,-0.046,-5.5,-0.4,-5.8,-0.3
97,Jimmy Butler,SF,30.0,MIA,54.0,1851,23.4,.583,.162,.679,6.2,15.2,10.9,28.1,2.4,1.6,11.2,25.2,6.0,2.5,8.5,.219,4.0,1.3,5.2,3.4
98,Bruno Caboclo,SF,24.0,TOT,27.0,220,13.4,.455,.364,.065,10.6,14.5,12.6,7.4,2.5,6.3,10.2,16.7,0.0,0.4,0.3,.070,-2.5,1.1,-1.4,0.0
99,Bruno Caboclo,SF,24.0,MEM,22.0,192,11.9,.441,.362,.043,9.5,14.5,12.0,7.0,2.4,5.4,9.1,16.7,-0.1,0.3,0.2,.051,-3.3,0.8,-2.4,0.0
100,Bruno Caboclo,SF,24.0,HOU,5.0,28,23.6,.563,.375,.250,18.6,15.1,16.9,10.1,3.3,12.2,18.4,16.0,0.1,0.1,0.1,.200,2.5,3.2,5.7,0.1
102,Kentavious Caldwell-Pope,SG,26.0,LAL,63.0,1603,11.6,.592,.474,.204,2.6,6.3,4.5,8.7,1.6,0.7,9.8,14.8,2.0,1.8,3.8,.114,-0.8,0.5,-0.3,0.7
103,Vlatko Čančar,SF,22.0,DEN,14.0,45,11.4,.507,.400,.267,12.4,12.4,12.4,9.1,1.1,2.0,15.2,19.1,0.0,0.0,0.1,.069,-3.5,-1.1,-4.5,0.0
104,Clint Capela,C,25.0,HOU,39.0,1279,20.7,.626,.000,.268,13.7,30.5,22.0,5.7,1.2,4.8,12.7,16.0,2.9,2.1,5.0,.186,1.1,0.4,1.5,1.1
105,DeMarre Carroll,SF,33.0,TOT,21.0,231,8.5,.523,.500,.667,5.1,16.7,10.9,10.1,0.8,1.5,18.6,15.8,0.0,0.1,0.1,.026,-3.4,-1.1,-4.5,-0.1
106,DeMarre Carroll,SF,33.0,SAS,15.0,135,5.0,.437,.448,.690,5.6,19.2,12.4,10.2,0.7,1.3,20.9,15.4,-0.2,0.1,-0.1,-0.038,-6.0,-1.1,-7.1,-0.2
107,DeMarre Carroll,SF,33.0,HOU,6.0,96,13.5,.624,.560,.640,4.3,13.2,8.7,10.0,1.0,1.8,15.8,16.4,0.2,0.1,0.2,.116,0.3,-1.1,-0.8,0.0
108,Jevon Carter,PG,24.0,PHO,50.0,754,10.4,.535,.571,.122,3.6,11.0,7.2,11.7,2.4,1.5,12.6,13.9,0.3,0.7,1.1,.068,-1.6,1.0,-0.6,0.3
109,Vince Carter,SF,43.0,ATL,60.0,876,7.6,.470,.664,.095,2.2,13.2,7.6,7.7,1.2,2.4,9.4,16.6,-0.6,0.4,-0.2,-0.011,-3.1,-1.2,-4.3,-0.5
110,Wendell Carter Jr.,C,20.0,CHI,43.0,1256,15.5,.590,.085,.443,11.6,24.6,17.8,6.0,1.3,2.7,14.9,16.4,1.7,1.6,3.3,.127,-2.1,-0.3,-2.4,-0.1
111,Michael Carter-Williams,SG,28.0,ORL,42.0,773,15.7,.539,.281,.360,5.9,13.8,9.7,19.4,2.8,2.3,14.6,18.4,0.7,1.1,1.9,.116,-1.3,1.7,0.4,0.5
112,Alex Caruso,PG,25.0,LAL,58.0,1032,11.0,.538,.412,.292,1.5,10.1,5.9,12.6,2.8,1.4,13.6,13.9,0.6,1.6,2.2,.103,-2.4,2.4,0.1,0.5
113,Willie Cauley-Stein,C,26.0,TOT,54.0,1097,17.0,.589,.003,.219,8.0,23.2,15.5,9.9,2.1,4.9,10.8,14.4,1.5,1.5,3.0,.129,-1.2,1.7,0.5,0.7
114,Willie Cauley-Stein,C,26.0,GSW,41.0,940,16.2,.573,.000,.222,7.9,22.0,14.7,9.9,2.3,4.8,11.0,14.4,1.0,1.2,2.2,.113,-1.5,1.6,0.1,0.5
115,Willie Cauley-Stein,C,26.0,DAL,13.0,157,22.3,.684,.022,.200,8.8,30.7,20.0,9.6,1.2,5.9,9.3,14.7,0.5,0.3,0.8,.230,1.0,2.3,3.2,0.2
